sensor_id,temperatura,pressao,status
S01,27.4,NA,Alerta
S02,24.1,1014.3,Falha
S03,22.3,NA,Falha
S04,23.3,1001.6,Alerta
S05,21.4,1019.9,Falha
S06,29.0,1017.2,OK
S07,28.5,1013.2,Alerta
S08,NA,NA,OK
S09,25.9,1013.8,Alerta
S10,28.5,1000.6,Falha
S11,NA,1003.7,Alerta
S12,25.5,1005.7,Falha
S13,24.3,1009.6,Alerta
S14,-,1010.6,OK
S15,24.7,1019.5,Alerta
S16,28.1,NA,OK
S17,21.3,1002.1,Alerta
S18,24.8,1003.0,Alerta
S19,21.5,1013.9,Falha
S20,29.4,NA,Falha
S21,26.5,1004.4,OK
S22,26.0,NA,Alerta
S23,22.0,1004.5,Falha
S24,20.5,1008.1,Alerta
S25,21.3,1007.1,Alerta
S26,22.9,1015.3,Falha
S27,-,1008.3,Falha
S28,22.5,1011.3,OK
S29,-,1003.8,Falha
S30,27.5,1003.9,OK
S31,-,1019.7,OK
S32,28.7,1005.0,Falha
S33,-,NA,Alerta
S34,25.4,1015.0,Falha
S35,23.0,1008.6,OK
S36,NA,NA,Alerta
S37,25.6,1005.1,Falha
S38,26.9,1010.5,Alerta
S39,29.3,NA,Alerta
S40,29.9,1010.4,OK
S41,23.5,1000.8,Alerta
S42,28.3,1017.7,OK
S43,-,1013.8,OK
S44,26.1,1004.7,OK
S45,22.6,1006.1,OK
S46,25.8,NA,Alerta
S47,25.8,1017.6,Falha
S48,20.8,1004.8,Alerta
S49,23.6,1008.2,Falha
S50,25.9,1001.5,Falha
