id;produto;quantidade;preco_unitario
1;Teclado;8;120.5
2;Mouse;20;50.0
3;Webcam;15;250.0
4;Headset;5;180.0
5;Monitor;12;799.9
6;Teclado;10;120.5
7;Mouse;18;50.0
8;Webcam;12;250.0
9;Headset;6;180.0
10;Monitor;13;799.9
11;Teclado;20;120.5
12;Mouse;14;50.0
13;Webcam;4;250.0
14;Headset;7;180.0
15;Monitor;18;799.9
16;Teclado;16;120.5
17;Mouse;17;50.0
18;Webcam;13;250.0
19;Headset;9;180.0
20;Monitor;15;799.9
21;Teclado;1;120.5
22;Mouse;15;50.0
23;Webcam;8;250.0
24;Headset;5;180.0
25;Monitor;11;799.9
26;Teclado;11;120.5
27;Mouse;1;50.0
28;Webcam;10;250.0
29;Headset;1;180.0
30;Monitor;5;799.9
31;Teclado;1;120.5
32;Mouse;8;50.0
33;Webcam;10;250.0
34;Headset;19;180.0
35;Monitor;10;799.9
36;Teclado;4;120.5
37;Mouse;16;50.0
38;Webcam;3;250.0
39;Headset;19;180.0
40;Monitor;16;799.9
41;Teclado;9;120.5
42;Mouse;11;50.0
43;Webcam;7;250.0
44;Headset;17;180.0
45;Monitor;1;799.9
46;Teclado;8;120.5
47;Mouse;12;50.0
48;Webcam;8;250.0
49;Headset;3;180.0
50;Monitor;8;799.9
51;Teclado;15;120.5
52;Mouse;16;50.0
53;Webcam;10;250.0
54;Headset;9;180.0
55;Monitor;19;799.9
56;Teclado;9;120.5
57;Mouse;19;50.0
58;Webcam;6;250.0
59;Headset;16;180.0
60;Monitor;7;799.9
61;Teclado;14;120.5
62;Mouse;5;50.0
63;Webcam;8;250.0
64;Headset;10;180.0
65;Monitor;15;799.9
66;Teclado;4;120.5
67;Mouse;4;50.0
68;Webcam;14;250.0
69;Headset;13;180.0
70;Monitor;4;799.9
71;Teclado;17;120.5
72;Mouse;11;50.0
73;Webcam;15;250.0
74;Headset;12;180.0
75;Monitor;20;799.9
76;Teclado;14;120.5
77;Mouse;4;50.0
78;Webcam;7;250.0
79;Headset;6;180.0
80;Monitor;3;799.9
81;Teclado;1;120.5
82;Mouse;20;50.0
83;Webcam;8;250.0
84;Headset;14;180.0
85;Monitor;3;799.9
86;Teclado;11;120.5
87;Mouse;1;50.0
88;Webcam;17;250.0
89;Headset;8;180.0
90;Monitor;12;799.9
91;Teclado;20;120.5
92;Mouse;11;50.0
93;Webcam;14;250.0
94;Headset;20;180.0
95;Monitor;2;799.9
96;Teclado;7;120.5
97;Mouse;19;50.0
98;Webcam;10;250.0
99;Headset;13;180.0
100;Monitor;8;799.9
